State,Analyte,value
OK,PFOSA,0.42075692036323614
OR,PFUnA,0.04591927639304819
OR,PFDoA,0.0035832941066942844
OR,PFTrDA,NA
OR,PFTeDA,0.015924410448566816
OR,PFHpS,NA
OR,PFOSA,NA
PA,PFUnA,0.19747485943574983
PA,PFDoA,0.02293599355767621
PA,PFTrDA,0.021757289350178295
PA,PFTeDA,0.027450848901521593
PA,PFHpS,NA
PA,PFOSA,NA
RI,PFUnA,0.13087652900388014
RI,PFDoA,0.010457784411859431
RI,PFTrDA,0.017909016653651032
RI,PFTeDA,0.023167515986363896
RI,PFHpS,NA
RI,PFOSA,0.22552570931469457
SC,PFUnA,0.26068527004952957
SC,PFDoA,0.024709445143318406
SC,PFTrDA,0.0190554037446006
SC,PFTeDA,0.028242900730115233
SC,PFHpS,0.33440739257450225
SC,PFOSA,NA
SD,PFUnA,0.03873038297878725
SD,PFDoA,0.004296556440728218
SD,PFTrDA,NA
SD,PFTeDA,0.008128952977671543
SD,PFHpS,NA
SD,PFOSA,NA
TN,PFUnA,0.16221149167936594
TN,PFDoA,0.0082025168413902335
TN,PFTrDA,0.013600584762219715
TN,PFTeDA,0.014757176174849876
TN,PFHpS,NA
TN,PFOSA,NA
TX,PFUnA,0.09030686400415465
TX,PFDoA,0.00701752015945026
TX,PFTrDA,0.008731356641182662
TX,PFTeDA,0.030598212746722628
TX,PFHpS,NA
TX,PFOSA,NA
UT,PFUnA,0.04943462769586527
UT,PFDoA,0.0025388742604303106
UT,PFTrDA,0.0061257325470587464
UT,PFTeDA,0.006628223197178335
UT,PFHpS,NA
UT,PFOSA,NA
VA,PFUnA,0.2397155717869216
VA,PFDoA,0.014289507304285262
VA,PFTrDA,0.017858385598925344
VA,PFTeDA,0.016410758062615542
VA,PFHpS,0.37857440668811576
VA,PFOSA,NA
VT,PFUnA,0.09855287377447702
VT,PFDoA,0.007380566913598748
VT,PFTrDA,0.013514897431948357
VT,PFTeDA,0.02490794566235255
VT,PFHpS,NA
VT,PFOSA,NA
WA,PFUnA,0.15949023312620308
WA,PFDoA,0.023274429256988225
WA,PFTrDA,0.0200180188591384
WA,PFTeDA,0.058570148377582135
WA,PFHpS,0.33440739257450225
WA,PFOSA,0.7517523643823153
WI,PFUnA,0.09143631547356251
WI,PFDoA,0.00656436488740021
WI,PFTrDA,0.009998070621449452
WI,PFTeDA,0.019309389842345943
WI,PFHpS,NA
WI,PFOSA,NA
WV,PFUnA,0.12755452202271797
WV,PFDoA,0.0064601188539644815
WV,PFTrDA,0.011463870909495652
WV,PFTeDA,0.019988886937402587
WV,PFHpS,NA
WV,PFOSA,NA
WY,PFUnA,0.03473606506096134
WY,PFDoA,0.0024115059864956794
WY,PFTrDA,0.006235120628256223
WY,PFTeDA,NA
WY,PFHpS,NA
WY,PFOSA,NA
